Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-01-02 00:00:00+00:00,72.87610626220703,94.90049743652344,68.26496124267578,153.9381866455078,28.68400001525879
2020-01-03 00:00:00+00:00,72.16758728027344,93.74849700927734,67.90784454345703,152.0214080810547,29.534000396728516
2020-01-06 00:00:00+00:00,72.74266052246094,95.14399719238281,69.71786499023438,152.4143524169922,30.1026668548584
2020-01-07 00:00:00+00:00,72.4005355834961,95.34300231933594,69.58320617675781,151.024658203125,31.270666122436523
2020-01-08 00:00:00+00:00,73.5652084350586,94.59850311279297,70.07847595214844,153.43028259277344,32.80933380126953
2020-01-09 00:00:00+00:00,75.12777709960938,95.05249786376953,70.81415557861328,155.3470458984375,32.089332580566406
2020-01-10 00:00:00+00:00,75.2976303100586,94.15799713134766,71.27151489257812,154.62823486328125,31.876667022705078
2020-01-13 00:00:00+00:00,76.90631103515625,94.56500244140625,71.82365417480469,156.487548828125,34.990665435791016
2020-01-14 00:00:00+00:00,75.8678207397461,93.47200012207031,71.35282135009766,155.3854217529297,35.861331939697266
2020-01-15 00:00:00+00:00,75.54269409179688,93.10099792480469,71.7822494506836,156.3917236328125,34.56666564941406
2020-01-16 00:00:00+00:00,76.48896789550781,93.89700317382812,72.32890319824219,159.2573699951172,34.232666015625
2020-01-17 00:00:00+00:00,77.3357925415039,93.23600006103516,73.79327392578125,160.14865112304688,34.03333282470703
2020-01-21 00:00:00+00:00,76.81169128417969,94.5999984741211,73.929443359375,159.5736083984375,36.47999954223633
2020-01-22 00:00:00+00:00,77.08586120605469,94.37300109863281,74.01023864746094,158.80686950683594,37.97066879272461
2020-01-23 00:00:00+00:00,77.45710754394531,94.22899627685547,74.05113983154297,159.784423828125,38.14666748046875
2020-01-24 00:00:00+00:00,77.2338638305664,93.08200073242188,73.12742614746094,158.17431640625,37.654666900634766
2020-01-27 00:00:00+00:00,74.9627914428711,91.41699981689453,71.40968322753906,155.5291290283203,37.201332092285156
2020-01-28 00:00:00+00:00,77.08343505859375,92.6624984741211,72.34586334228516,158.57688903808594,37.793331146240234
2020-01-29 00:00:00+00:00,78.69699096679688,92.9000015258789,72.65509033203125,161.0495147705078,38.732666015625
2020-01-30 00:00:00+00:00,78.58293151855469,93.53399658203125,72.53289794921875,165.59234619140625,42.72066879272461
2020-01-31 00:00:00+00:00,75.09867095947266,100.43599700927734,71.46205139160156,163.14845275878906,43.371334075927734
2020-02-03 00:00:00+00:00,74.89242553710938,100.20999908447266,73.94689178466797,167.1258087158203,52.0
2020-02-04 00:00:00+00:00,77.36492156982422,102.4834976196289,72.09198760986328,172.62698364257812,59.137332916259766
2020-02-05 00:00:00+00:00,77.99575805664062,101.99349975585938,72.12390899658203,172.4161376953125,48.97999954223633
2020-02-06 00:00:00+00:00,78.90807342529297,102.5114974975586,73.6162109375,175.99099731445312,49.930667877197266
2020-02-07 00:00:00+00:00,77.83550262451172,103.96399688720703,73.7728271484375,176.24020385742188,49.871334075927734
2020-02-10 00:00:00+00:00,78.20518493652344,106.69550323486328,75.2466812133789,180.85008239746094,51.41866683959961
2020-02-11 00:00:00+00:00,77.73333740234375,107.54000091552734,75.3165054321289,176.76731872558594,51.62533187866211
2020-02-12 00:00:00+00:00,79.57933807373047,108.0,75.74394989013672,177.02606201171875,51.15266799926758
2020-02-13 00:00:00+00:00,79.01265716552734,107.49349975585938,75.48259735107422,176.06768798828125,53.599998474121094
2020-02-14 00:00:00+00:00,79.0321044921875,106.74349975585938,75.74893188476562,177.63946533203125,53.33533477783203
2020-02-18 00:00:00+00:00,77.5849838256836,107.78350067138672,75.78434753417969,179.4412384033203,57.22666549682617
2020-02-19 00:00:00+00:00,78.7086181640625,108.51100158691406,76.05517578125,179.97935485839844,61.16133117675781
2020-02-20 00:00:00+00:00,77.90116119384766,107.65499877929688,75.66214752197266,177.2308807373047,59.96066665649414
2020-02-21 00:00:00+00:00,76.13786315917969,104.79850006103516,73.98978424072266,171.62814331054688,60.06666564941406
2020-02-24 00:00:00+00:00,72.52127838134766,100.4645004272461,70.81764221191406,164.22830200195312,55.58599853515625
2020-02-25 00:00:00+00:00,70.0648422241211,98.63700103759766,69.14479064941406,161.51828002929688,53.32733154296875
2020-02-26 00:00:00+00:00,71.17631530761719,98.97949981689453,69.35177612304688,163.53636169433594,51.91999816894531
2020-02-27 00:00:00+00:00,66.52365112304688,94.21499633789062,65.58509826660156,152.01377868652344,45.266666412353516
2020-02-28 00:00:00+00:00,66.48472595214844,94.1875,66.7970962524414,155.69447326660156,44.53266525268555
2020-03-02 00:00:00+00:00,72.67450714111328,97.69750213623047,69.14479064941406,166.05426025390625,49.574668884277344
2020-03-03 00:00:00+00:00,70.36642456054688,95.44950103759766,66.72079467773438,158.09698486328125,49.70066833496094
2020-03-04 00:00:00+00:00,73.63033294677734,98.79149627685547,68.90937042236328,163.90158081054688,49.96666717529297
2020-03-05 00:00:00+00:00,71.24198913574219,96.20149993896484,65.57562255859375,159.78842163085938,48.30266571044922
2020-03-06 00:00:00+00:00,70.2958755493164,95.05449676513672,64.6269760131836,155.27163696289062,46.89866638183594
2020-03-09 00:00:00+00:00,64.73605346679688,90.03050231933594,60.63935089111328,144.74847412109375,40.53333282470703
2020-03-10 00:00:00+00:00,69.39842987060547,94.59100341796875,63.60101318359375,154.64697265625,43.02199935913086
2020-03-11 00:00:00+00:00,66.9881820678711,91.04299926757812,60.39544677734375,147.6411590576172,42.28200149536133
