,Retorno Esperado,Risco
AAPL,0.25801059153386097,0.3693334788210521
AMZN,0.0355585731817596,0.3908437897663405
GOOGL,0.1444133633971208,0.34523403713888434
MSFT,0.20365531558127373,0.3475714325488733
TSLA,0.7470637721763894,0.7218818161369661
